X,Y,Z
2.00,0.00,2
1.90,0.62,2
1.62,1.18,2
1.18,1.62,2
0.62,1.90,2
0.00,2.00,2
-0.62,1.90,2
-1.18,1.62,2
-1.62,1.18,2
-1.90,0.62,2
-2.00,0.00,2
-1.90,-0.62,2
-1.62,-1.18,2
-1.18,-1.62,2
-0.62,-1.90,2
-0.00,-2.00,2
0.62,-1.90,2
1.18,-1.62,2
1.62,-1.18,2
1.90,-0.62,2
